"ident",  "country", "latitude_deg", "longitude_deg"
CHIRP, ALABAMA, 31.8994, -85.4089
CHOOK, ALABAMA, 33.9344, -87.4558
CHPPE, ALABAMA, 32.4981, -85.7353
CHUTT, ALABAMA, 32.2231, -85.0517
CIBOG, ALABAMA, 33.5314, -86.0833
CICBY, ALABAMA, 34.1917, -87.6033
CIDIV, ALABAMA, 32.3781, -85.0167
CIKAY, ALABAMA, 33.3472, -87.3681
CIKOB, ALABAMA, 33.2047, -87.98
CILAL, ALABAMA, 33.7244, -86.7861
CINOG, ALABAMA, 32.4325, -86.3964
CIPBA, ALABAMA, 33.0692, -86.6567
CIVMA, ALABAMA, 34.3539, -85.9708
CLIOS, ALABAMA, 31.6928, -85.6711
CNDLR, ALABAMA, 32.6014, -86.3553
CODOK, ALABAMA, 32.3661, -86.3558
COGTA, ALABAMA, 31.6364, -87.0225
COHHE, ALABAMA, 34.3008, -85.8931
COLIG, ALABAMA, 33.7856, -86.7469
COLJU, ALABAMA, 32.5281, -86.4464
COLOB, ALABAMA, 33.5203, -85.9492
COMAR, ALABAMA, 34.9097, -85.6358
COMOD, ALABAMA, 32.46, -85.0275
COOUP, ALABAMA, 31.855, -88.2708
COPOV, ALABAMA, 30.3814, -87.9383
CORES, ALABAMA, 33.8353, -87.2433
COTIN, ALABAMA, 34.7689, -86.7631
COVID, ALABAMA, 34.6439, -85.5508
COVUS, ALABAMA, 32.305, -86.4392
COXOX, ALABAMA, 31.3233, -86.4511
CRAWL, ALABAMA, 32.555, -85.3197
CREAL, ALABAMA, 33.8003, -87.1319
CRENS, ALABAMA, 31.7453, -86.2311
CRMSN, ALABAMA, 33.2586, -87.5367
CUBEP, ALABAMA, 30.4233, -87.8839
CUBNO, ALABAMA, 32.6136, -87.79
CUGEG, ALABAMA, 31.3872, -85.2775
CUGNI, ALABAMA, 34.6358, -85.6017
CUGOV, ALABAMA, 32.3931, -86.3756
CUKVA, ALABAMA, 34.9842, -85.6292
CUMAT, ALABAMA, 31.0708, -86.8147
CUNLU, ALABAMA, 31.3631, -85.2658
CURPA, ALABAMA, 32.4261, -87.0536
CUSAG, ALABAMA, 34.2214, -86.8747
CUSCA, ALABAMA, 32.7069, -87.4558
CUTAV, ALABAMA, 32.0797, -88.0311
CUXOB, ALABAMA, 33.6028, -86.6881
CWATR, ALABAMA, 31.0317, -85.5644
DABIE, ALABAMA, 34.5317, -87.1667
DABRO, ALABAMA, 33.2872, -87.0272
DALEC, ALABAMA, 34.2531, -87.7214
DARED, ALABAMA, 31.0014, -85.8506
DAVSS, ALABAMA, 32.7264, -85.8553
DAYVS, ALABAMA, 33.2342, -87.2019
DAZNI, ALABAMA, 34.7078, -87.4206
DDASH, ALABAMA, 33.7697, -85.6011
DEANY, ALABAMA, 34.4864, -86.7514
DEBAY, ALABAMA, 34.7283, -86.7639
DEGAA, ALABAMA, 33.575, -86.0422
DEKKE, ALABAMA, 31.3664, -85.5175
DELBE, ALABAMA, 33.2294, -87.5606
DELFI, ALABAMA, 33.8903, -86.9086
DENST, ALABAMA, 34.7717, -85.7328
DEPEN, ALABAMA, 31.9917, -86.7561
DEPST, ALABAMA, 33.9206, -88.0058
DEVAC, ALABAMA, 34.6181, -87.435
DEXOW, ALABAMA, 30.5931, -88.0392
DEYPA, ALABAMA, 30.55, -88.1808
DEZLY, ALABAMA, 34.3572, -86.0819
DICAD, ALABAMA, 30.7347, -88.2811
DICAV, ALABAMA, 33.1422, -87.4092
DIDEC, ALABAMA, 30.7397, -88.2364
DINGS, ALABAMA, 31.4322, -87.1508
DINNI, ALABAMA, 33.4886, -87.9925
DIODE, ALABAMA, 34.0097, -86.4792
DIVYA, ALABAMA, 34.5225, -86.1594
DIXLI, ALABAMA, 34.7242, -87.5503
DOCEG, ALABAMA, 32.3917, -85.1375
DONSE, ALABAMA, 34.5325, -87.6808
DORRA, ALABAMA, 33.8561, -87.2317
DOWDU, ALABAMA, 34.1753, -86.8911
DOZER, ALABAMA, 31.2672, -86.37
DOZVA, ALABAMA, 34.8569, -86.5203
DRSDN, ALABAMA, 33.0647, -86.1831
DRYDN, ALABAMA, 32.5236, -85.4758
DUCAB, ALABAMA, 34.7414, -85.9567
DUGGE, ALABAMA, 34.8547, -85.8511
DUKME, ALABAMA, 31.2075, -85.3936
DUVBY, ALABAMA, 34.3128, -87.9903
DUYER, ALABAMA, 31.4822, -85.6689
EASAL, ALABAMA, 31.1303, -85.3561
EBAHU, ALABAMA, 34.31, -87.8897
EBAZE, ALABAMA, 34.2619, -85.7731
EBEYA, ALABAMA, 32.9328, -87.0361
EDASE, ALABAMA, 34.5731, -86.2397
EDDIE, ALABAMA, 34.3181, -86.4664
EFBUB, ALABAMA, 33.6361, -86.2111
EFORD, ALABAMA, 31.6967, -85.4161
EGEST, ALABAMA, 31.4183, -85.5106
EHEBA, ALABAMA, 31.0969, -87.165
EKECO, ALABAMA, 33.3986, -87.7844
EKUSY, ALABAMA, 32.4372, -86.6225
EKUTE, ALABAMA, 34.0828, -86.0853
ELAIN, ALABAMA, 34.7239, -86.7664
ELKED, ALABAMA, 34.8444, -86.9064
EMIZI, ALABAMA, 33.6383, -86.8064
EMUSY, ALABAMA, 31.0386, -87.3133
EMVUF, ALABAMA, 31.3642, -85.3558
ENGNR, ALABAMA, 33.6875, -86.0425
ENIKY, ALABAMA, 34.4183, -86.77
ENNTT, ALABAMA, 31.6892, -86.3172
EPARR, ALABAMA, 31.0717, -85.8136
EPICU, ALABAMA, 32.1617, -85.1131
EPIJE, ALABAMA, 34.9539, -85.5939
ERFOM, ALABAMA, 34.5469, -85.7653
ERIGE, ALABAMA, 33.6947, -86.7011
ERNON, ALABAMA, 31.2269, -88.0872
ERUCA, ALABAMA, 31.3647, -85.3989
ESBIY, ALABAMA, 34.6475, -85.9136
ESCOT, ALABAMA, 32.3625, -86.4781
ETEVY, ALABAMA, 34.8611, -86.9403
ETIBY, ALABAMA, 31.6836, -87.8572
EUTAW, ALABAMA, 32.8175, -87.8389
EWALL, ALABAMA, 31.4342, -85.655
EXIST, ALABAMA, 33.9936, -87.5814
EYEDY, ALABAMA, 30.5917, -88.2364
EYIPA, ALABAMA, 30.6589, -87.9758
EYUTI, ALABAMA, 33.6064, -87.4783
EZBUV, ALABAMA, 34.8769, -86.6186
EZRUB, ALABAMA, 33.6606, -86.4269
FABOX, ALABAMA, 33.0967, -86.7428
FALOL, ALABAMA, 34.9592, -86.5553
FALVA, ALABAMA, 34.4717, -86.0794
FAMAM, ALABAMA, 33.0022, -86.8442
FAMVU, ALABAMA, 31.4006, -86.9283
FANEP, ALABAMA, 30.6494, -88.2097
FASAM, ALABAMA, 32.4767, -86.4347
FASOV, ALABAMA, 34.4717, -86.6383
FATUN, ALABAMA, 31.4981, -87.3156
FAXIL, ALABAMA, 34.8039, -85.7708
FAYEZ, ALABAMA, 33.0106, -86.2094
FEBOG, ALABAMA, 33.1875, -87.5172
FEGMI, ALABAMA, 34.2036, -87.9947
FEKER, ALABAMA, 34.7269, -86.7806
FEKRA, ALABAMA, 31.2822, -85.405
FEKSO, ALABAMA, 34.6822, -86.7647
FELTS, ALABAMA, 30.2903, -87.4975
FEMEN, ALABAMA, 31.4247, -87.0975
FENIX, ALABAMA, 32.4514, -85.0414
FEPEN, ALABAMA, 31.9306, -85.795
FEPON, ALABAMA, 33.1319, -88.1408
FEVIB, ALABAMA, 31.2272, -87.4472
